loss,mae,val_loss,val_mae
10030.16796875,79.64238739013672,4318.7548828125,53.65078353881836
2449.85986328125,37.909820556640625,1593.7860107421875,29.917938232421875
1548.222412109375,29.112838745117188,1431.4427490234375,28.02945327758789
1446.4678955078125,27.44426918029785,1352.798583984375,26.224212646484375
1412.053955078125,26.532255172729492,1336.351806640625,25.53206443786621
1404.2628173828125,26.355361938476562,1328.499267578125,25.760269165039062
1399.4501953125,26.240428924560547,1346.9007568359375,26.428857803344727
1399.8819580078125,26.297311782836914,1320.8424072265625,25.532283782958984
1396.77978515625,26.258926391601562,1321.2991943359375,25.709518432617188
1392.998046875,26.240394592285156,1317.78466796875,25.4437313079834
1391.727783203125,26.173961639404297,1315.8358154296875,25.46954917907715
1392.1845703125,26.207345962524414,1314.950927734375,25.53270721435547
1391.0093994140625,26.15797233581543,1321.1015625,25.87334442138672
1388.5306396484375,26.142486572265625,1315.6207275390625,25.254173278808594
1387.737060546875,26.128753662109375,1310.6888427734375,25.505496978759766
1387.9649658203125,26.12120819091797,1309.79638671875,25.213468551635742
1382.4180908203125,26.033748626708984,1323.842041015625,26.0272159576416
1383.648681640625,26.118881225585938,1306.2908935546875,25.407934188842773
1381.822265625,26.058874130249023,1304.63037109375,25.19792938232422
1379.3494873046875,26.031415939331055,1323.561279296875,26.172555923461914
